puzzle_id,source,source_record_id,source_difficulty,sampling_seed,clue_count,empty_cells,mean_domain_size,domain_variance,min_domain_size,max_domain_size,singleton_count,singleton_ratio,pair_count,pair_ratio,triple_count,triple_ratio,candidate_domain_entropy,row_clue_variance,column_clue_variance,box_clue_variance,min_row_clues,max_row_clues,min_column_clues,max_column_clues,min_box_clues,max_box_clues,prop_initial_empty,prop_initial_singletons,prop_forced_assignments,prop_rounds,prop_reduction_ratio,prop_residual_empty,prop_initial_mean_domain,prop_final_mean_domain,prop_final_singletons,prop_contradiction,prop_solved,recursive_calls,log_recursive_calls,backtracked_assignments,candidate_checks,backtrack_events,max_depth,solution_depth,solved,solution_valid
SE0014,sudoku_exchange,easy:95754,easy,2026,30,51,3.372549019607843,0.7827758554402152,2,5,0,0.0,8,0.1568627450980392,22,0.43137254901960786,1.7019753644154827,0.8888888888888891,2.8888888888888893,0.2222222222222222,2,4,0,5,3,4,51,0,0,0,0.0,51,3.372549019607843,3.372549019607843,0,0,0,200,5.303304908059076,148,1563,109,51,51,1,1
SE0015,sudoku_exchange,easy:64344,easy,2026,30,51,3.392156862745098,1.2579777008842752,1,6,3,0.058823529411764705,8,0.1568627450980392,14,0.27450980392156865,1.6609020800027752,1.3333333333333333,1.1111111111111114,3.111111111111111,2,5,2,5,1,6,51,3,51,14,1.0,0,3.392156862745098,0.0,0,0,1,993,6.901737206656574,941,8741,642,51,51,1,1
SE0016,sudoku_exchange,easy:98439,easy,2026,37,44,2.7045454545454546,0.9808884297520659,1,5,6,0.13636363636363635,10,0.22727272727272727,21,0.4772727272727273,1.3165470160208856,1.6543209876543206,1.6543209876543206,0.09876543209876545,2,5,2,5,4,5,44,6,14,3,0.3181818181818182,30,2.7045454545454546,2.5,0,0,0,333,5.811140992976701,288,2828,210,44,44,1,1
SE0017,sudoku_exchange,easy:76877,easy,2026,40,41,2.097560975609756,0.6246281975014868,1,3,11,0.2682926829268293,15,0.36585365853658536,15,0.36585365853658536,0.9457179880687153,1.3580246913580245,1.3580246913580245,2.469135802469136,3,6,3,6,3,8,41,11,41,4,1.0,0,2.097560975609756,0.0,0,0,1,48,3.8918202981106265,6,256,3,41,41,1,1
SE0018,sudoku_exchange,easy:57816,easy,2026,27,54,3.314814814814815,0.7712620027434836,2,5,0,0.0,10,0.18518518518518517,22,0.4074074074074074,1.6755336201907833,0.4444444444444444,0.6666666666666666,0.4444444444444444,2,4,1,4,2,4,54,0,0,0,0.0,54,3.314814814814815,3.314814814814815,0,0,0,2984,8.001355025826703,2929,26650,2140,54,54,1,1
SE0019,sudoku_exchange,easy:31449,easy,2026,32,49,2.9183673469387754,0.850478967097043,1,5,3,0.061224489795918366,13,0.2653061224489796,19,0.3877551020408163,1.4578819511957004,0.9135802469135803,0.9135802469135803,0.2469135802469136,2,5,2,5,3,4,49,3,49,11,1.0,0,2.9183673469387754,0.0,0,0,1,579,6.363028103540465,529,5012,358,49,49,1,1
SE0020,sudoku_exchange,easy:333,easy,2026,30,51,3.176470588235294,0.7335640138408305,2,6,0,0.0,10,0.19607843137254902,26,0.5098039215686274,1.61642830802443,0.2222222222222222,0.4444444444444444,3.1111111111111116,3,4,2,4,1,6,51,0,0,0,0.0,51,3.176470588235294,3.176470588235294,0,0,0,105,4.663439094112067,53,738,34,51,51,1,1
SE0021,sudoku_exchange,easy:80505,easy,2026,28,53,3.4150943396226414,1.601281594873622,1,6,2,0.03773584905660377,13,0.24528301886792453,11,0.20754716981132076,1.660438796251193,2.0987654320987654,0.9876543209876544,0.54320987654321,1,5,2,4,2,4,53,2,53,17,1.0,0,3.4150943396226414,0.0,0,0,1,5475,8.60813018640834,5421,49045,3917,53,53,1,1
SE0022,sudoku_exchange,easy:10581,easy,2026,34,47,3.127659574468085,1.0475328202806695,1,5,2,0.0425531914893617,12,0.2553191489361702,15,0.3191489361702128,1.5545138274546124,3.0617283950617287,0.17283950617283947,1.7283950617283952,2,6,3,4,2,6,47,2,7,4,0.14893617021276595,40,3.127659574468085,2.825,0,0,0,335,5.817111159963204,287,2820,187,47,47,1,1
SE0023,sudoku_exchange,easy:14515,easy,2026,30,51,3.3529411764705883,0.8950403690888118,1,6,1,0.0196078431372549,6,0.11764705882352941,24,0.47058823529411764,1.683389827618133,2.2222222222222223,0.6666666666666667,1.5555555555555558,2,6,2,4,0,4,51,1,51,16,1.0,0,3.3529411764705883,0.0,0,0,1,1136,7.036148493750536,1084,10018,712,51,51,1,1
SE0024,sudoku_exchange,easy:37650,easy,2026,36,45,2.7777777777777777,1.1950617283950615,1,5,7,0.15555555555555556,11,0.24444444444444444,13,0.28888888888888886,1.3316986800947195,1.3333333333333333,1.3333333333333333,3.5555555555555554,2,5,2,5,2,6,45,7,45,6,1.0,0,2.7777777777777777,0.0,0,0,1,98,4.59511985013459,52,664,31,45,45,1,1
SE0025,sudoku_exchange,easy:12852,easy,2026,30,51,3.3333333333333335,1.6732026143790848,1,6,4,0.0784313725490196,9,0.17647058823529413,18,0.35294117647058826,1.606245705162682,2.8888888888888884,1.3333333333333333,2.8888888888888893,0,6,2,5,0,5,51,4,6,2,0.11764705882352941,45,3.3333333333333335,3.1777777777777776,0,0,0,9329,9.140990293841389,9277,83740,6534,51,51,1,1
SE0026,sudoku_exchange,medium:235749,medium,2026,25,56,3.642857142857143,0.9795918367346933,1,5,2,0.03571428571428571,4,0.07142857142857142,17,0.30357142857142855,1.7943852063575123,0.8395061728395062,0.617283950617284,0.617283950617284,1,4,2,4,2,4,56,2,11,5,0.19642857142857142,45,3.642857142857143,3.1333333333333333,0,0,0,3297,8.101071503119543,3240,29430,2073,56,56,1,1
SE0027,sudoku_exchange,medium:6024,medium,2026,28,53,3.5660377358490565,1.2267710929156281,1,5,4,0.07547169811320754,3,0.05660377358490566,16,0.3018867924528302,1.733973755760368,1.6543209876543208,0.3209876543209877,4.098765432098765,2,6,2,4,0,6,53,4,53,14,1.0,0,3.5660377358490565,0.0,0,0,1,41656,10.637224700700166,41602,374679,28918,53,53,1,1
SE0028,sudoku_exchange,medium:257052,medium,2026,26,55,3.7818181818181817,1.4433057851239677,1,6,2,0.03636363636363636,5,0.09090909090909091,16,0.2909090909090909,1.828407039146755,1.2098765432098764,1.6543209876543208,1.432098765432099,0,4,1,4,2,5,55,2,16,7,0.2909090909090909,39,3.7818181818181817,2.8974358974358974,0,0,0,4855,8.487970332739334,4799,43472,3308,55,55,1,1
SE0029,sudoku_exchange,medium:164749,medium,2026,26,55,3.7636363636363637,2.1077685950413225,1,7,2,0.03636363636363636,8,0.14545454545454545,18,0.32727272727272727,1.7918393220983504,1.8765432098765433,0.3209876543209877,2.54320987654321,0,5,2,4,1,6,55,2,55,13,1.0,0,3.7636363636363637,0.0,0,0,1,1724,7.45298232946546,1668,15290,1151,55,55,1,1
SE0030,sudoku_exchange,medium:110219,medium,2026,26,55,3.4909090909090907,1.3044628099173559,1,6,4,0.07272727272727272,3,0.05454545454545454,22,0.4,1.7020822686619397,1.654320987654321,0.54320987654321,1.432098765432099,2,5,2,4,1,4,55,4,55,17,1.0,0,3.4909090909090907,0.0,0,0,1,1439,7.272398392570047,1383,12727,929,55,55,1,1
SE0031,sudoku_exchange,medium:208257,medium,2026,32,49,3.1020408163265305,1.3569346105789255,1,5,4,0.08163265306122448,12,0.24489795918367346,15,0.30612244897959184,1.510774166837324,2.246913580246914,2.246913580246914,2.469135802469136,2,6,2,6,0,5,49,4,49,11,1.0,0,3.1020408163265305,0.0,0,0,1,60,4.110873864173311,10,329,5,49,49,1,1
SE0032,sudoku_exchange,medium:131866,medium,2026,28,53,3.547169811320755,1.153435386258455,1,6,2,0.03773584905660377,6,0.11320754716981132,16,0.3018867924528302,1.7445451619302834,1.2098765432098764,3.209876543209876,0.9876543209876544,2,5,1,6,2,4,53,2,5,3,0.09433962264150944,48,3.547169811320755,3.1666666666666665,0,0,0,13741,9.528212115591021,13687,123439,9490,53,53,1,1
SE0033,sudoku_exchange,medium:182273,medium,2026,24,57,3.9473684210526314,1.3831948291782081,1,7,1,0.017543859649122806,6,0.10526315789473684,11,0.19298245614035087,1.903575846676788,2.0,0.4444444444444444,1.3333333333333333,1,5,2,4,1,4,57,1,57,22,1.0,0,3.9473684210526314,0.0,0,0,1,12324,9.41938499891089,12266,110680,8406,57,57,1,1
SE0034,sudoku_exchange,medium:186981,medium,2026,27,54,3.3703703703703702,1.0109739368998634,1,6,2,0.037037037037037035,9,0.16666666666666666,15,0.2777777777777778,1.6726885980777884,1.5555555555555556,0.0,1.3333333333333333,1,5,3,3,1,5,54,2,6,3,0.1111111111111111,48,3.3703703703703702,2.9166666666666665,0,0,0,60603,11.012116176479726,60548,545198,45703,54,54,1,1
SE0035,sudoku_exchange,medium:197313,medium,2026,27,54,3.7222222222222223,2.0154320987654333,1,6,2,0.037037037037037035,10,0.18518518518518517,15,0.2777777777777778,1.77282059545396,1.1111111111111112,2.888888888888889,3.5555555555555554,2,5,1,6,1,5,54,2,9,5,0.16666666666666666,45,3.7222222222222223,3.488888888888889,0,0,0,15403,9.6423824949348,15348,138411,11456,54,54,1,1
SE0036,sudoku_exchange,medium:269268,medium,2026,28,53,3.452830188679245,1.0402278390886437,1,6,1,0.018867924528301886,7,0.1320754716981132,21,0.39622641509433965,1.7181844903966685,0.3209876543209877,1.654320987654321,2.320987654320988,2,4,2,6,0,5,53,1,53,20,1.0,0,3.452830188679245,0.0,0,0,1,7717,8.951310542097564,7663,69240,5119,53,53,1,1
SE0037,sudoku_exchange,medium:334348,medium,2026,26,55,3.8545454545454545,1.6515702479338836,1,6,1,0.01818181818181818,9,0.16363636363636364,10,0.18181818181818182,1.851667552113563,1.2098765432098764,1.432098765432099,0.9876543209876544,1,4,2,5,2,4,55,1,1,1,0.01818181818181818,54,3.8545454545454545,3.814814814814815,0,0,0,20612,9.933677223699185,20556,185290,13636,55,55,1,1
SE0038,sudoku_exchange,medium:40014,medium,2026,29,52,3.6538461538461537,1.5340236686390516,1,7,1,0.019230769230769232,7,0.1346153846153846,18,0.34615384615384615,1.780924971293216,3.7283950617283943,1.506172839506173,1.0617283950617287,0,6,2,5,1,4,52,1,10,5,0.19230769230769232,42,3.6538461538461537,3.1666666666666665,0,0,0,10345,9.24435525056346,10292,92902,6959,52,52,1,1
SE0039,sudoku_exchange,medium:178465,medium,2026,27,54,3.5,0.8796296296296297,1,6,1,0.018518518518518517,5,0.09259259259259259,22,0.4074074074074074,1.7478834460353854,2.4444444444444446,0.0,0.6666666666666666,0,5,3,3,2,4,54,1,54,24,1.0,0,3.5,0.0,0,0,1,2656,7.884952945759814,2601,23697,1746,54,54,1,1
SE0040,sudoku_exchange,medium:47011,medium,2026,28,53,3.452830188679245,1.0402278390886432,1,5,1,0.018867924528301886,7,0.1320754716981132,23,0.4339622641509434,1.7168933313273131,0.7654320987654322,1.2098765432098764,2.098765432098765,2,4,2,5,1,6,53,1,5,4,0.09433962264150944,48,3.452830188679245,3.1875,0,0,0,7517,8.925055424124123,7463,67431,5200,53,53,1,1
SE0041,sudoku_exchange,medium:292265,medium,2026,32,49,3.2244897959183674,1.3169512703040405,1,6,3,0.061224489795918366,9,0.1836734693877551,18,0.3673469387755102,1.5837987879598294,2.6913580246913584,2.6913580246913584,0.2469135802469136,1,6,1,6,3,4,49,3,49,12,1.0,0,3.2244897959183674,0.0,0,0,1,1589,7.371489295214277,1539,14098,1123,49,49,1,1
SE0042,sudoku_exchange,medium:282101,medium,2026,32,49,3.122448979591837,1.2503123698458978,1,6,4,0.08163265306122448,9,0.1836734693877551,19,0.3877551020408163,1.5303461713055628,0.4691358024691357,0.4691358024691357,1.5802469135802473,2,4,2,4,0,4,49,4,19,7,0.3877551020408163,30,3.122448979591837,2.7333333333333334,0,0,0,6600,8.79497643168877,6550,59191,4122,49,49,1,1
SE0043,sudoku_exchange,medium:153156,medium,2026,27,54,3.6666666666666665,1.4074074074074077,1,6,1,0.018518518518518517,9,0.16666666666666666,13,0.24074074074074073,1.7874034679881219,2.0,1.7777777777777777,1.1111111111111112,1,5,1,5,1,4,54,1,1,1,0.018518518518518517,53,3.6666666666666665,3.6226415094339623,0,0,0,25899,10.16199824768763,25844,232858,17798,54,54,1,1
SE0044,sudoku_exchange,medium:150787,medium,2026,32,49,3.2857142857142856,1.0204081632653057,1,5,2,0.04081632653061224,9,0.1836734693877551,16,0.32653061224489793,1.6320212344076594,1.3580246913580245,1.3580246913580245,0.2469135802469136,2,5,2,5,3,4,49,2,6,4,0.12244897959183673,43,3.2857142857142856,3.0,0,0,0,602,6.401917196727186,552,5207,394,49,49,1,1
SE0045,sudoku_exchange,medium:239835,medium,2026,26,55,4.0,1.0545454545454545,2,6,0,0.0,5,0.09090909090909091,11,0.2,1.9457890260619397,1.2098765432098766,0.54320987654321,0.9876543209876539,2,5,2,4,1,4,55,0,0,0,0.0,55,4.0,4.0,0,0,0,23300,10.056251557087757,23244,209488,16125,55,55,1,1
SE0046,sudoku_exchange,medium:73867,medium,2026,28,53,3.7169811320754715,1.6368814524741888,1,7,2,0.03773584905660377,7,0.1320754716981132,13,0.24528301886792453,1.7925512094062042,3.2098765432098766,1.432098765432099,1.6543209876543208,0,6,1,4,2,6,53,2,4,3,0.07547169811320754,49,3.7169811320754715,3.36734693877551,0,0,0,1449,7.27931883541462,1395,12848,988,53,53,1,1
SE0047,sudoku_exchange,medium:338059,medium,2026,27,54,3.5185185185185186,1.2496570644718792,1,6,2,0.037037037037037035,7,0.12962962962962962,19,0.35185185185185186,1.7266751677441508,1.3333333333333333,3.111111111111111,0.4444444444444444,1,4,1,6,2,4,54,2,4,3,0.07407407407407407,50,3.5185185185185186,3.28,0,0,0,3426,8.139440521874608,3371,30612,2269,54,54,1,1
SE0048,sudoku_exchange,medium:302737,medium,2026,28,53,3.7169811320754715,1.4482022071911715,2,6,0,0.0,10,0.18867924528301888,14,0.2641509433962264,1.812651585976261,1.8765432098765433,2.3209876543209877,0.3209876543209877,1,5,0,5,2,4,53,0,0,0,0.0,53,3.7169811320754715,3.7169811320754715,0,0,0,20666,9.936293504261306,20612,185767,14161,53,53,1,1
SE0049,sudoku_exchange,medium:162005,medium,2026,28,53,3.660377358490566,1.431826272694909,1,6,1,0.018867924528301886,7,0.1320754716981132,19,0.3584905660377358,1.7862909144426464,2.54320987654321,0.7654320987654322,1.8765432098765433,1,6,2,4,1,6,53,1,1,1,0.018867924528301886,52,3.660377358490566,3.5384615384615383,0,0,0,14180,9.559658319461347,14126,127387,9758,53,53,1,1
SE0050,sudoku_exchange,medium:12971,medium,2026,26,55,3.618181818181818,1.0723966942148764,1,5,1,0.01818181818181818,8,0.14545454545454545,14,0.2545454545454545,1.7827747663408104,0.7654320987654322,2.3209876543209877,1.432098765432099,2,4,1,5,2,5,55,1,10,7,0.18181818181818182,45,3.618181818181818,3.2222222222222223,0,0,0,5404,8.595079730073309,5348,48407,3672,55,55,1,1
SE0051,sudoku_exchange,hard:193381,hard,2026,28,53,3.641509433962264,1.286578853684586,1,6,2,0.03773584905660377,6,0.11320754716981132,15,0.2830188679245283,1.7766725181345908,0.7654320987654322,0.9876543209876544,2.0987654320987654,2,4,2,4,1,5,53,2,17,6,0.32075471698113206,36,3.641509433962264,3.138888888888889,0,0,0,7921,8.977398978181862,7867,71080,5785,53,53,1,1
SE0052,sudoku_exchange,hard:190601,hard,2026,28,53,3.5849056603773586,0.9975080099679613,2,6,0,0.0,7,0.1320754716981132,20,0.37735849056603776,1.7830847823399611,0.7654320987654322,0.7654320987654322,0.09876543209876545,2,4,2,4,3,4,53,0,0,0,0.0,53,3.5849056603773586,3.5849056603773586,0,0,0,5815,8.668368019213355,5761,52131,4285,53,53,1,1
SE0053,sudoku_exchange,hard:241735,hard,2026,31,50,3.56,1.7663999999999986,1,6,3,0.06,8,0.16,14,0.28,1.7085335573393416,3.802469135802469,2.6913580246913584,2.2469135802469142,1,7,2,6,0,5,50,3,30,9,0.6,20,3.56,2.5,0,0,0,1956,7.579167967396076,1905,17396,1221,50,50,1,1
SE0054,sudoku_exchange,hard:221364,hard,2026,25,56,3.8035714285714284,0.9792729591836734,2,6,0,0.0,5,0.08928571428571429,16,0.2857142857142857,1.875207863708719,1.0617283950617287,0.617283950617284,1.950617283950617,1,4,2,4,0,5,56,0,0,0,0.0,56,3.8035714285714284,3.8035714285714284,0,0,0,10573,9.266153436795395,10516,94931,6563,56,56,1,1
SE0055,sudoku_exchange,hard:47545,hard,2026,28,53,3.5849056603773586,0.8843004627981491,2,6,0,0.0,6,0.11320754716981132,20,0.37735849056603776,1.7898044768725139,0.54320987654321,0.54320987654321,0.09876543209876545,2,4,2,4,3,4,53,0,0,0,0.0,53,3.5849056603773586,3.5849056603773586,0,0,0,2980,8.000014093678072,2926,26593,2112,53,53,1,1
SE0056,sudoku_exchange,hard:209073,hard,2026,28,53,3.1132075471698113,0.5909576361694553,1,4,1,0.018867924528301886,10,0.18867924528301888,24,0.4528301886792453,1.5856433965529764,0.09876543209876545,0.09876543209876545,0.09876543209876545,3,4,3,4,3,4,53,1,1,1,0.018867924528301886,52,3.1132075471698113,3.076923076923077,0,0,0,3875,8.262558973010657,3821,34654,2826,53,53,1,1
SE0057,sudoku_exchange,hard:307085,hard,2026,27,54,3.6666666666666665,1.7407407407407405,1,7,3,0.05555555555555555,7,0.12962962962962962,14,0.25925925925925924,1.758722192281313,1.7777777777777777,0.6666666666666666,3.5555555555555554,1,5,2,5,0,6,54,3,8,4,0.14814814814814814,46,3.6666666666666665,3.0869565217391304,0,0,0,126637,11.749087901631702,126582,1139507,89621,54,54,1,1
SE0058,sudoku_exchange,hard:290691,hard,2026,24,57,3.8947368421052633,1.287165281625116,2,6,0,0.0,5,0.08771929824561403,18,0.3157894736842105,1.8982366188969801,1.3333333333333333,0.2222222222222222,1.3333333333333333,1,4,2,3,1,4,57,0,0,0,0.0,57,3.8947368421052633,3.8947368421052633,0,0,0,43280,10.675469018613882,43222,389290,31899,57,57,1,1
SE0059,sudoku_exchange,hard:261335,hard,2026,28,53,3.4339622641509435,0.9248843004627979,2,6,0,0.0,9,0.16981132075471697,20,0.37735849056603776,1.721052473291858,0.7654320987654322,0.7654320987654322,1.4320987654320987,2,4,2,4,0,4,53,0,0,0,0.0,53,3.4339622641509435,3.4339622641509435,0,0,0,342,5.8377304471659395,288,2846,192,53,53,1,1
SE0060,sudoku_exchange,hard:61053,hard,2026,33,48,3.1666666666666665,1.3472222222222223,2,6,0,0.0,17,0.3541666666666667,16,0.3333333333333333,1.5721019496313537,2.2222222222222223,2.2222222222222223,4.4444444444444455,1,5,1,5,1,6,48,0,0,0,0.0,48,3.1666666666666665,3.1666666666666665,0,0,0,2334,7.755767170102998,2285,20813,1696,48,48,1,1
SE0061,sudoku_exchange,hard:223055,hard,2026,28,53,3.490566037735849,1.7593449626201485,1,9,1,0.018867924528301886,10,0.18867924528301888,21,0.39622641509433965,1.704099521796886,1.8765432098765433,1.8765432098765433,1.4320987654320987,0,4,0,4,0,4,53,1,5,5,0.09433962264150944,48,3.490566037735849,3.3125,0,0,0,14729,9.597641509456675,14675,132351,9454,53,53,1,1
SE0062,sudoku_exchange,hard:265478,hard,2026,30,51,3.5098039215686274,1.3087274125336408,1,6,1,0.0196078431372549,7,0.13725490196078433,21,0.4117647058823529,1.7300726076954063,0.6666666666666666,1.3333333333333333,2.888888888888889,2,4,2,5,1,6,51,1,16,9,0.3137254901960784,35,3.5098039215686274,2.914285714285714,0,0,0,1331,7.194436851100335,1279,11738,837,51,51,1,1
SE0063,sudoku_exchange,hard:314660,hard,2026,28,53,3.30188679245283,0.814524741901032,1,5,1,0.018867924528301886,9,0.16981132075471697,20,0.37735849056603776,1.6601313659240113,0.54320987654321,0.54320987654321,1.4320987654320987,2,4,2,4,2,5,53,1,10,7,0.18867924528301888,43,3.30188679245283,2.883720930232558,0,0,0,1137,7.037027614686276,1083,10013,796,53,53,1,1
SE0064,sudoku_exchange,hard:257442,hard,2026,29,52,3.5384615384615383,0.9408284023668636,1,5,1,0.019230769230769232,8,0.15384615384615385,12,0.23076923076923078,1.7552508975551042,0.617283950617284,2.3950617283950613,0.617283950617284,2,4,2,7,2,4,52,1,2,2,0.038461538461538464,50,3.5384615384615383,3.44,0,0,0,1755,7.470793774195062,1702,15588,1235,52,52,1,1
SE0065,sudoku_exchange,hard:208745,hard,2026,27,54,3.7037037037037037,0.8751714677640604,2,6,0,0.0,6,0.1111111111111111,15,0.2777777777777778,1.838088016028237,1.1111111111111112,2.4444444444444446,0.4444444444444444,1,4,1,5,2,4,54,0,0,0,0.0,54,3.7037037037037037,3.7037037037037037,0,0,0,37803,10.540170196114946,37748,340017,26142,54,54,1,1
SE0066,sudoku_exchange,hard:275070,hard,2026,28,53,3.7735849056603774,2.3260946956212165,1,7,2,0.03773584905660377,10,0.18867924528301888,15,0.2830188679245283,1.7818892717551043,3.654320987654321,3.2098765432098766,1.4320987654320985,0,6,0,5,2,5,53,2,13,4,0.24528301886792453,40,3.7735849056603774,3.4,0,0,0,982,6.890609120147166,928,8606,695,53,53,1,1
SE0067,sudoku_exchange,hard:135604,hard,2026,31,50,3.52,1.5696000000000003,1,6,4,0.08,6,0.12,13,0.26,1.6934358072960722,1.5802469135802473,3.1358024691358026,2.0246913580246915,3,7,1,6,1,5,50,4,8,3,0.16,42,3.52,3.119047619047619,0,0,0,271,5.605802066295998,220,2210,155,50,50,1,1
SE0068,sudoku_exchange,hard:220184,hard,2026,27,54,3.5,1.1388888888888888,1,6,1,0.018518518518518517,10,0.18518518518518517,14,0.25925925925925924,1.7287011531465974,1.5555555555555556,1.3333333333333333,0.8888888888888888,1,5,1,4,2,5,54,1,2,2,0.037037037037037035,52,3.5,3.4038461538461537,0,0,0,5931,8.688116703257823,5876,53137,4318,54,54,1,1
SE0069,sudoku_exchange,hard:295699,hard,2026,28,53,3.490566037735849,0.9291562833748672,2,5,0,0.0,11,0.20754716981132076,12,0.22641509433962265,1.7410008806201025,1.654320987654321,1.6543209876543208,0.9876543209876544,2,5,2,5,2,5,53,0,0,0,0.0,53,3.490566037735849,3.490566037735849,0,0,0,6765,8.819665349340653,6711,60669,4846,53,53,1,1
