puzzle_id,puzzle,source,source_record_id,source_difficulty,sampling_seed
SE0072,004000007008400650670080000000023040040105070020760000000030092063008700100000300,sudoku_exchange,hard:271575,hard,2026
SE0073,000396000050802060000000000030060040492000615010000080080020030005000100160080072,sudoku_exchange,hard:13305,hard,2026
SE0074,407000002000005970000000001030210005050709060900063020200000000098400000300000508,sudoku_exchange,hard:301737,hard,2026
SE0075,000000003107000050030120078000062000520000047000870000640095080050000901800000000,sudoku_exchange,hard:117716,hard,2026
SE0076,004020900700406008009807500000000000008050700100070002500301006060000080040000030,sudoku_exchange,diabolical:100379,diabolical,2026
SE0077,710000069000000000005809300020000040009106200500403006030708010000030000600050007,sudoku_exchange,diabolical:16909,diabolical,2026
SE0078,000406100010003070804010200780000001006000800900000053005060302060300010003107000,sudoku_exchange,diabolical:107235,diabolical,2026
SE0079,000003950340200000000050040500000760070804030063000001020080000000006014037500000,sudoku_exchange,diabolical:6408,diabolical,2026
SE0080,090820600000657001600000000050000076910030042470000080000000005700189000004072010,sudoku_exchange,diabolical:92362,diabolical,2026
SE0081,700080504010002060400003000096807000500000009000209610000700001070300080804060003,sudoku_exchange,diabolical:68580,diabolical,2026
SE0082,000000000900080001040070090430000057007852900090000010500906008020000040000307000,sudoku_exchange,diabolical:116238,diabolical,2026
SE0083,007108000000050100050063002103000005076000910900000406300890070009070000000301500,sudoku_exchange,diabolical:87882,diabolical,2026
SE0084,500702300000800000270000001000003008012000590600900000900000047000009000006201003,sudoku_exchange,diabolical:13445,diabolical,2026
SE0085,047001000006030001000806093908000200030000010005000309180504000600070100000100680,sudoku_exchange,diabolical:94019,diabolical,2026
SE0086,000500124000003805500007000600740300008000600001056009000100008802600000346005000,sudoku_exchange,diabolical:81568,diabolical,2026
SE0087,004200060690004080008600403010090604000301000409020010903002700060400095040008100,sudoku_exchange,diabolical:56284,diabolical,2026
SE0088,400000000000587040000460050003000074140070098750000600090015000070849000000000001,sudoku_exchange,diabolical:61610,diabolical,2026
SE0089,008400000016058000420600008800007020090106070070900006600005032000860790000009500,sudoku_exchange,diabolical:18667,diabolical,2026
SE0090,070000650605300001200001040004208070000000000030609400010800004300007809058000060,sudoku_exchange,diabolical:63192,diabolical,2026
SE0091,060007080700006902080540000470000500006000100005000027000095010508100003030400050,sudoku_exchange,diabolical:115908,diabolical,2026
SE0092,940000037000080000081000540200000009009703400000050000700000004003517900090000060,sudoku_exchange,diabolical:30006,diabolical,2026
SE0093,037460800000800005500070006000000087901000603820000000700050004400003000008046790,sudoku_exchange,diabolical:111363,diabolical,2026
SE0094,908000105070060080300000006010603070009705600000040000000407000006030400705000201,sudoku_exchange,diabolical:116120,diabolical,2026
SE0095,000706000000050000570040092710080049000000000002301800040010080800000005301020904,sudoku_exchange,diabolical:15993,diabolical,2026
SE0096,100807004500000009008409200830000056010000020209000103700104005900080007000030000,sudoku_exchange,diabolical:82139,diabolical,2026
SE0097,680150030009000000020004500700608020000070000040503006008200060000000300050036078,sudoku_exchange,diabolical:91844,diabolical,2026
SE0098,325000719008030600000000000800493005090702080030000070700000008400518007000000000,sudoku_exchange,diabolical:59874,diabolical,2026
SE0099,030000080080140035240800001100037000000000000000490002700005094350019020020000010,sudoku_exchange,diabolical:88383,diabolical,2026
SE0100,107050009020000360040003008001506000300040006000802900200300090013000080600070402,sudoku_exchange,diabolical:61526,diabolical,2026
